stationName,stationId
24th St at Chattanooga St,132.0
Raymond Kimbell Playground,31.0
Sanchez St at 17th St,106.0
West St at 40th St,190.0
Shattuck Ave at 51st St,174.0
Bryant St at 6th St,63.0
9th St at San Fernando,281.0
32nd St at Adeline St,213.0
California St at University Ave,251.0
5th St at San Salvador St,327.0
Ashby BART Station,241.0
Franklin Square,113.0
Emeryville Town Hall,149.0
Oregon St at Adeline St,274.0
Irwin St at 8th St,102.0
Foothill Blvd at Fruitvale Ave,227.0
S. 4th St at San Carlos St,208.0
San Bruno Ave at 16th St,101.0
San Pablo Ave at 27th St,216.0
Isabella St at San Pablo Ave,164.0
Market St at Brockhurst St,214.0
10th Ave at E 15th St,222.0
San Pedro Square,308.0
San Jose Diridon Station,312.0
10th St at Fallon St,201.0
Julian St at The Alameda,276.0
Jackson St at 5th St,304.0
26th Ave at International Blvd,226.0
Duboce Park,84.0
Jackson St at 11th St,339.0
Telegraph Ave at 27th St,179.0
Broadway at Coronado Ave,207.0
34th St at Telegraph Ave,215.0
Bushrod Park,169.0
Bancroft Way at College Ave,243.0
Harmon St at Adeline St,340.0
Jersey St at Church St,138.0
San Fernando at 7th St,280.0
Julian St at 6th St,275.0
Shafter Ave at Cavour St,205.0
San Pablo Ave at MLK Jr Way,220.0
Bestor Art Park,299.0
William St at 10th St,295.0
DeFremery Park,218.0
Saint James Park,306.0
Haste St at Telegraph Ave,240.0
Ryland Park,305.0
53rd St at Hollis St,151.0
Mosswood Park,212.0
W St John St at Guadalupe River Trail,293.0
MacArthur Blvd at Telegraph Ave,177.0
13th St at Franklin St,338.0
55th St at Telegraph Ave,204.0
Almaden Blvd at Balbach St,287.0
Mission St at 1st St,288.0
Fruitvale Ave at International Blvd,234.0
Doyle St at 59th St,154.0
Almaden Blvd at San Fernando St,313.0
Ninth St at Parker St,265.0
San Jose City Hall,309.0
Marston Campbell Park,219.0
Palm St at Willow St,300.0
College Ave at Bryant Ave,206.0
Cesar Chavez St at Dolores St,140.0
Ellsworth St at Russell St,268.0
5th St at Taylor St,289.0
George St at 1st St,290.0
Foothill Blvd at Harrington Ave,228.0
Delmas Ave and San Fernando St,283.0
Empire St at 1st St,292.0
Market St at 8th St,236.0
Foothill Blvd at 42nd Ave,229.0
2nd St at Townsend St - Coming Soon,50.0
Webster St at 17th St,199.0
Franklin St at 14th St,184.0
Jackson St at 14th St,185.0
Dolores St at 22nd St,131.0
Rockridge BART Station,171.0
Potrero Ave and Mariposa St,336.0
23rd Ave at Foothill Blvd,225.0
Colin P Kelly Jr St at Townsend St (Temporary Site),342.0
Fountain Alley at S 2nd St,341.0
College Ave at Alcatraz Ave,166.0
Woolsey St at Sacramento St,272.0
Hearst Ave at Euclid Ave,256.0
27th St at MLK Jr Way,217.0
Oak St at 1st St,298.0
Pierce St at Haight St,73.0
Milvia St at Derby St,242.0
Market St at 45th St,315.0
Emeryville Public Market,155.0
Jack London Square,187.0
Webster St at 2nd St,203.0
Channing Way at Shattuck Ave,252.0
Bryant St at 2nd St,343.0
Alcatraz Ave at Shattuck Ave,168.0
Virginia St at Shattuck Ave,255.0
San Pedro St at Hedding St,303.0
Fulton St at Ashby Ave,273.0
Tamien Station,302.0
2nd St at Townsend St,50.0
Hubbell St at 16th St,345.0
San Pablo Park,271.0
16th St Depot,344.0
8th St at Brannan St,350.0
Howard St at Mary St,349.0
Valencia St at Clinton Park,356.0
Haste St at College Ave,253.0
Mission Bay Kids Park,92.0
Shattuck Ave at 55th St,173.0
Folsom St at 13th St,87.0
Berry St at King St,91.0
4th St at 16th St,104.0
23rd St at Tennessee St,355.0
Fifth St at Delaware St,257.0
West St at University Ave,262.0
10th St at University Ave,351.0
23rd St and San Bruno Ave,347.0
2nd St at Julian St,357.0
Miles Ave at Cavour St (Temporary Location),205.0
5th St at Folsom,321.0
E 12th St at 6th Ave,221.0
William St at 4th St (Temporary Location),208.0
MLK Jr Way at 36th St (Temporary Location),192.0
Salesforce Transit Center (Natoma St at 2nd St),363.0
6th St at San Fernando St (Temporary Location),280.0
Mission Rock St at 3rd St,364.0
Potrero Ave at 15th St (Temporary Location),101.0
E 12th St at 4th Ave,233.0
Turk St at Fillmore St,365.0
Outside Lands 2018 (Temporary Station),367.0
Miles Ave at Cavour St,205.0
6th Ave at E 12th St (Temporary Location),221.0
Lane St at Revere Ave,362.0
Madison St at 17th St,372.0
23rd St at San Bruno Ave,136.0
4th Ave at E 12th St (Temporary Location),233.0
9th St at San Fernando St,281.0
Williams Ave at Apollo St,359.0
Lane St at Van Dyke Ave,358.0
Webster St at MacArthur Blvd (Temporary Location),212.0
Newhall St at 3rd St,360.0
Mendell St at Fairfax Ave,361.0
Viva Calle SJ,374.0
Myrtle St at Polk St,368.0
Grove St at Masonic Ave,375.0
Hyde St at Post St,369.0
Lombard St at Columbus Ave,371.0
Potrero del Sol Park (25th St at Utah St),373.0
Jones St at Post St,370.0
Empire St at 7th St,378.0
20th St at Dolores St,381.0
Fell St at Stanyan St,377.0
Guerrero Park,142.0
Williams Ave at 3rd St,358.0
Farnam St at Fruitvale Ave,234.0
Woolsey St at Sacramento St1,272.0
Masonic Ave at Turk St,380.0
Woolsey St at Sacramento St,385.0
China Basin St at 3rd St,364.0
22nd St at Dolores St,131.0
15th St at Potrero Ave,101.0
Alamo Square (Steiner St at Fulton St),54.0
San Fernando St at 7th St,280.0
Golden Gate Ave at Franklin St,383.0
24th St at Bartlett St,386.0
Leavenworth St at Broadway,398.0
Backesto Park (Jackson St at 13th St),388.0
Parker Ave at McAllister St,51.0
Taylor St at 9th St,389.0
Randall St at Chenery St,387.0
Gish Rd at 1st St,397.0
Buchanan St at North Point St,400.0
Jackson St at Polk St,384.0
Bay St at Fillmore St,399.0
Asbury St at The Alameda,393.0
Indiana St at Cesar Chavez St,390.0
Bird Ave at Coe Ave,407.0
Skyport Dr at Technology Dr,401.0
10th St at Mission St,403.0
Goettingen St at Bacon St,352.0
10th St at Empire St,394.0
Kerley Dr at Rosemary St,395.0
Sonora Ave at 1st St,392.0
Sunol St at San Carlos St,405.0
Raymond Bernal Jr Memorial Park (8th St at Hedding St),402.0
Metro Dr at Technology Dr,396.0
Illinois St at 20th St,376.0
2100 Powell St,409.0
Auzerais Ave at Los Gatos Creek Trail,416.0
Octavia Blvd at Page St,411.0
Illinois St at Cesar Chavez St,410.0
Glen Park BART Station,412.0
SF Test Station,420.0
Delmas Ave at Virginia St,415.0
Parkmoor Ave at Race St,406.0
Park Ave at Race St,417.0
17th St at Santa Clara St,418.0
1st St at Younger Ave,391.0
